标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
【指环王全史】从零入门- 跨越万年，你必备的所有魔戒故事|精灵宝钻(1/7),青蛙刀圣1993,BV17P411j7bv,2022-08-22 11:00:00,14:23,3662,39922,1164144,26539,影视杂谈,"重返中土世界,青蛙刀圣,魔戒,指环王,力量之戒,力量之戒解说,精灵宝钻",本系列讲解托尔金小说《精灵宝钻》，共7集。
【阿斗】一次看爽《指环王》+《霍比特人》合集，带你重温不可复制的史诗经典！,阿斗归来了,BV17P411E7sa,2022-10-03 18:00:32,137:27,24300,72267,2357196,30257,影视杂谈,"指环王,霍比特人,经典,影评杂谈,电影解说,魔戒,影视,史诗经典,力量之戒","前段时间看了美剧《力量之戒》，投资成本过7亿美金，号称”史上最贵“的魔戒，看了几集，只能说一言难尽……
今天再带你们回顾一下什么才叫不可复制的史诗经典，另外，《权游》第三季结局会在十一假期结束之前更完哦！

喜欢的话多多点赞、投币、收藏吧。
更多精彩内容，关注我的微信公众号——阿斗归来了（adouGLL）"
【Prime1Studio】博罗米尔（指环王（电影））,Prime1官方,BV1nx4y1r7Qh,2024-02-29 11:00:00,1:39,3,142,3147,53,单机游戏,"指环王,魔戒",【Prime1Studio】博罗米尔（指环王（电影））
指环王系列演员今昔对比,红磡铁头,BV1ac411p7Ka,2023-04-14 21:18:30,7:37,996,4073,305855,1301,影视杂谈,"电影,对比,指环王,大片,演员,美国电影,奇幻",转自https://www.youtube.com/watch?v=FrzWBGrl5WQ&amp;t=98s
5秒看完指环王三部曲,general_nuke,BV1Rx411c7Cx,2011-08-13 00:59:03,0:34,742,24034,998234,5567,日常,"无语,指环王,AK47,5秒系列,魔戒",youtube 5秒看完指环王三部曲 每部5秒 这是合集 不要吐槽渣画质，原画质就这样
成龙：《指环王》应该我拍！老外拍的动作太无语！看了就想重拍！,985再剪武林,BV1o94y1r7T3,2023-08-09 20:03:54,1:1,100,3329,156779,191,影视剪辑,"动作,成龙",-
【4K】“梦回中土·史诗之巅”《指环王·三部曲》史诗MV,FUSION-TV,BV1Pz4y1R7SK,2020-06-18 21:08:03,13:40,3913,52709,822803,44052,影视剪辑,"混剪,FUSION-TV,魔戒,指环王,中土世界,4K,电影,影视剪辑,指环王三部曲,史诗",指环王电影三部曲共获国际奖项351项，提名284项，包括17项奥斯卡金像奖。其中《指环王：国王归来》以获11项金像奖的成绩与《宾虚》及《泰坦尼克号》并列成为了奥斯卡影史上获奖最多的影片。三部宏大的电影，在恢弘的场面和复杂的关系外，情感元素也是电影非常吸引观众的因素，关于友情、爱情、亲情。弗罗多和山姆的友情，阿拉贡与阿尔文的爱情，比尔博、刚铎的亲情等，最后山姆那句“我不能替你背负重担，但我可以背着你”让无数的观众潜然泪下。故事内核是对于善良美好的追求，人性的救赎与回归。最终本片成就世纪经典！！
《指环王1星球大战》阿拉贡捡了凯洛伦的光剑..,研究原力,BV1BZ4y1J7La,2024-01-26 17:00:00,2:12,641,13170,197266,1928,影视剪辑,"搞笑,星球大战,科幻,星战,指环王,光剑,经典电影,阿拉贡,精灵王子,凯洛伦",视频中所有光剑都是捡到的，与设定无关。
70余年经久不衰，《指环王》到底有什么可神的？【迷影至下Pro30】,迷影至下Filmlast,BV1NQ4y1o7iy,2021-05-14 18:03:13,14:22,1114,9764,227778,3439,影视杂谈,"指环王中土招募启事,指环王,魔戒,霍比特人,甘道夫,托尔金,彼得杰克逊,奥兰多布鲁姆,精灵宝钻,指环王三部曲",改编自出版60多年前的“老小说”，上映已经快20年的“老电影”，《指环王》或者说《魔戒》，到底有什么神的？
《指环王》大小比较,无限排行,BV1V5411c7c1,2021-04-15 20:50:27,1:8,247,4845,238206,1379,影视杂谈,"电影,指环王,魔戒,中土世界",数据来自网络。
